rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
42,"spotify:track:6fON5gco8TNy1di0oBUr1Y","DIAMOND MQT","Victoria's Secret","DIAMOND MQT",42,48,41,"530116"
43,"spotify:track:4WqM7sGHLOdZasaunLPzLG","Only Monday, ปั๊บ Potato","ยอมอยู่แล้ว (feat. ปั๊บ Potato)","GMM Music Public Company Limited",30,43,15,"527726"
44,"spotify:track:0UlTAkFyXcBBs1HjtICAsD","guncharlie","เผื่อวันไหนเธอจะกลับมา","Kicks Records",9,41,73,"526684"
45,"spotify:track:6QdPlI3flfUFMy4JNpsWcG","LITTLE JOHN","สุดแต่ใจจะไขว่คว้า","9 Arkkhan",14,52,28,"525952"
46,"spotify:track:24VfUtHxbkCrscWC00toom","Musketeers","ความทรงจำ","Believe Records",9,61,164,"524094"
47,"spotify:track:70sb4kxm9A4fDw8ZltDpW2","Three Man Down","ไม่ให้ไป","GMM Music Public Company Limited",22,46,60,"520339"
48,"spotify:track:1LV7y6Foa5JFMOUc0qyj4b","D Gerrard","รักรักรักรักรักรักรัก (Talk Less)","WM/Thailand",13,24,13,"510581"
49,"spotify:track:5pqAbpHRuFhcACwvVBi69V","Big Ass","ก่อนตาย","Music bugs",5,64,73,"505475"
50,"spotify:track:5u8iqPNTa3ryOqeiNdgi6o","Musketeers","แค่คุณ","Believe Records",41,82,152,"495204"
51,"spotify:track:6m1TWFMeon7ai9XLOzdbiR","BTS","FAKE LOVE","BIGHIT MUSIC",1,44,92,"487612"
52,"spotify:track:1fBIWQh21BNWLhuhXDMog1","Only Monday","ทุกความทรงจำ","GMM Music Public Company Limited",19,28,95,"475272"
53,"spotify:track:77rZWogLvZ2NOf248oMd6N","Z9, 2K, Saran","CURSE (รักใครไม่เป็น)","Z9",3,55,28,"474747"
54,"spotify:track:5mcCatVvcUeNQpli4Mpaxl","Dr.Fuu","ใจเหลือเหลือ","RS UMG",54,69,18,"473261"
55,"spotify:track:5XGTehBbNk1y0KrdkI1qsK","Only Monday","ท้ายปี","GMM Music Public Company Limited",3,39,37,"472605"
56,"spotify:track:4ntIPuXf6DpvrZExXrn5QA","PURPEECH","กลัวว่าฉันจะไม่เสียใจ (Fear)","MILK!",56,87,17,"472486"
57,"spotify:track:2aOKroYzVYSkKetUpWvrkt","YOUNGOHM","Very Very Small","Youngohm",15,60,134,"469796"
58,"spotify:track:5ARFnqIJJc9OgCRB7tEygC","URBOYTJ, GAVIN:D","ไม่ติด","UrboyTJ",58,73,59,"469787"
