rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
99,"spotify:track:0ZcyX8hFV1jdJNWOI8mMXF","YEW, LANDOKMAI","Summertime","YEW",3,97,174,"347956"
100,"spotify:track:6d9rWFahtOYiNblK9dvqK2","AirBorne","คำตอบสุดท้าย","WM/Thailand",100,-1,2,"342417"
101,"spotify:track:25n8diXqpb6LKyL0Dwzwoy","Saran, BLVCKHEART, Pondering","Promethazine","SARAN",23,112,147,"341818"
102,"spotify:track:4oCZ6UlTx0WFolzaHLJWym","fellow fellow","ไม่เปลี่ยนเลย (Best Luck)","Kicks Records",10,144,87,"340522"
103,"spotify:track:5BZsQlgw21vDOAjoqkNgKb","Justin Bieber","DAISIES","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",93,109,4,"338731"
104,"spotify:track:1scf7fXKBaF1PPM3ej4sxK","Timethai","พูดเหมือนจำ ทำเหมือนเดิม (SAME AGAIN)","Timethai",39,110,13,"337536"
105,"spotify:track:1X3VD4oXVFe314hJ9AcvVy","K6Y, Lazyloxy, Jayrun","กอดกัน","Chonburi Flow",81,166,92,"333947"
106,"spotify:track:6FicBoMn2mM3N5cFKgd3Vp","9Tokyo, 2K","เคยรัก","9Tokyo under exclusive license to Amuseio AB",106,-1,2,"333835"
107,"spotify:track:1ScnC2q4xnTeUfB2awBFX1","Dr.Fuu","พูดแล้วอยากจะร้องไห้","RS UMG",107,127,5,"333181"
108,"spotify:track:1Gsxe1ulIVg3q9GASfmoD6","PUN","Kryptonite","High Cloud Entertainment",108,161,18,"332170"
109,"spotify:track:5MI9rnOsAayuxi7pKVydNg","Maroon 5, LISA","Priceless (feat. LISA)","222 Records/Interscope Records",1,102,14,"331315"
110,"spotify:track:6rgF7lJWhf0jR5ZEJk3cY5","YENTED, BLVCKHEART, Williams","ที่รักใจเย็น","Yented",41,133,75,"329909"
111,"spotify:track:3qMYr2bVu2HpSKrSJ2zj8K","Anatomy Rabbit","แอบหวัง","Anatomy Rabbit",17,118,196,"329540"
112,"spotify:track:3Ohb6hLc9rdw63nq8NMC17","atom chanakan","PLEASE","GMM Music Public Company Limited",40,56,183,"328060"
113,"spotify:track:0ZapAgVfHzTxqDPweLPUyu","Highhot","ไร้รัก","Dahigh",37,120,53,"327608"
114,"spotify:track:6zZsio19rHayse0WDDLboq","Tilly Birds","คิด(แต่ไม่)ถึง (Same Page?)","GMM Music Public Company Limited",1,51,237,"326849"
115,"spotify:track:1nmdJTwB575vxvNm6PdXHq","Silly Fools","ขี้หึง","GMM Music Public Company Limited",28,65,242,"326654"
116,"spotify:track:79qhHPvit6BeOVu2wNnLgJ","The Parkinson","Onlyfan","Spicy Disc",45,115,55,"325050"
117,"spotify:track:36czGZFR3xI0F38AiZ0Xdq","Rifle, Saran","ที่สุดเลย","Rifle",42,126,102,"323541"
118,"spotify:track:6pTSm2Sw6fEEO4iKfOJqTL","Goy Arachaporn","จางหาย","Arachaporn Pokinpakorn",16,149,67,"322102"
119,"spotify:track:3jQEXiy7AtzDMiilrYlO0H","Musketeers","งานเต้นรำ","Believe Records",62,153,162,"320948"
120,"spotify:track:510TKpbFquRZzk80oLgbaM","THE TOYS, NONT TANONT","ดอกไม้ที่รอฝน (spring)","What The Duck",5,103,55,"318025"
121,"spotify:track:5jj7yXcilVsZPpyYtmD28X","NONT TANONT","จำนน","LOVEiS Entertainment",11,129,70,"315628"
122,"spotify:track:6YbOPV8Of3AptlrNDsyCNf","Pancake","ใจเย็น","GMM Music Public Company Limited",31,57,7,"315214"
123,"spotify:track:59wHlNG8GyEBWlXKGCOnuV","the ge","I love you a latte","Groovelab",34,143,14,"314423"
124,"spotify:track:3iTOd09b4Dsz1QucpGMivX","Billkin","See You Somewhere - From ซองแดงแต่งผี","Universal Music (Thailand) Ltd. Distributed Labels",31,123,20,"313347"
125,"spotify:track:1XZE0InCx3SdCnLpVsPpZl","LBI利比","Jumping Machine (跳楼机)","Sony Music Entertainment",82,105,11,"310390"
126,"spotify:track:36zlZYQZQ6QpXwSxnBRAa0","PUN, URBOYTJ","BF","Universal Music (Thailand) Ltd.",55,125,45,"309457"
127,"spotify:track:3DKdtwZkiqr5zvhrRpEd23","Mirrr","เจ้าของที่ (My Favorite)","What The Duck",10,99,178,"308018"
128,"spotify:track:6PM9OBzgQbY7wAkPWBTl2V","Whatcharawalee","สถานีดวงจันทร์","Tinnamou Music Score Co., Ltd.",60,151,209,"305979"
129,"spotify:track:4bjN59DRXFRxBE1g5ne6B1","Agust D","Haegeum","BIGHIT MUSIC",1,116,118,"304054"
130,"spotify:track:5PCOOngROV9jWsUViSy4Ed","j-hope, GloRilla","Killin' It Girl (feat. GloRilla)","BIGHIT MUSIC",1,-1,6,"303136"
131,"spotify:track:3ZxGBncHdyXG7Mxa7d429r","Three Man Down","รักใครไม่ไหว","GMM Music Public Company Limited",59,135,17,"300520"
132,"spotify:track:3gJAFFELdZyIM8tiwLAikg","JENNIE, Dua Lipa","Handlebars (feat. Dua Lipa)","OA Entertainment/Columbia",8,121,22,"298412"
133,"spotify:track:151RFTqNBV4hcJLOAux0FR","Pop Pongkool, ดา เอ็นโดรฟิน","สลักจิต (feat. ดา เอ็นโดรฟิน)","GMM Music Public Company Limited",7,76,154,"296607"
134,"spotify:track:6z56u8jPSSroDFrJVD5cMf","Whatcharawalee","ร่มสีเทา","Tinnamou Music Score Co., Ltd.",55,176,249,"295791"
135,"spotify:track:4njC4CPPqAQZ5bo6eEjP0e","PURPEECH","หากจะเพียงขอ (Sincare)","MILK!",31,128,201,"295461"
136,"spotify:track:7CfldwMr1T6JaiHVkMCsqY","โก๊ะ นิพนธ์","รักน้อง","Mellow Me",47,107,7,"294128"
137,"spotify:track:1xOqGUkyxGQRdCvGpvWKmL","KATSEYE","Gabriela","HYBE/Geffen",107,165,6,"291631"
138,"spotify:track:22A3EEXoniinp3n7BlVlxT","HANGMAN","รักเธอหัวทิ่มบ่อ","GMM Music Public Company Limited",23,101,33,"290129"
139,"spotify:track:1I37Zz2g3hk9eWxaNkj031","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Your Idol","K-Pop Demon Hunters",92,124,6,"289030"
140,"spotify:track:5dkjzwhEHF0pitjFW1vz2f","MEYOU","อิจฉา","GMM Music Public Company Limited",11,108,88,"288612"
141,"spotify:track:19VIBTwlLTX2SKK6e3erAf","Tattoo Colour","รักแรกพบ","Smallroom",65,188,174,"288465"
142,"spotify:track:5bvgLLWn7IFu6mOa46XaoV","QLER","จีบ","DeBlueSound",3,140,82,"287211"
143,"spotify:track:3sLTOt7ZMwEWEB7YdLaeZS","URBOYTJ","ถามคำ","UrboyTJ",48,-1,93,"285202"
144,"spotify:track:0D9lpJts3mXxe0fvovYUFv","AYLA's","จากตรงนี้ที่(เคย)สวยงาม [La La Bye]","WM/Thailand",10,95,133,"284959"
145,"spotify:track:6FngEZyo8Gg5P4fzckJeX4","Bedroom Audio","รักมือสอง","Tero Music",22,145,129,"282880"
146,"spotify:track:1Uirva9dJEp3Ctq3p6ejFQ","Saran, Pondering, WHALJAY, SLOWVXNZ","อะไรฉันก็ยอม","SARAN",65,182,132,"282292"
147,"spotify:track:2HY5NVPfvygwTBM1x6jwvH","MEYOU","วันนี้ปีที่แล้ว","GMM Music Public Company Limited",11,92,101,"280668"
148,"spotify:track:4VOmQnvZtK8F53UEqyGkja","guncharlie","ไม่มีที่ไปก็ต้องไป","Kicks Records",73,-1,32,"279289"
149,"spotify:track:51EN90GQ1JhX7n1noAB0s4","fellow fellow","ยิ้มง่าย (Better Together) - เพลงจากซีรีส์ ""9 Years of you แต่ละปีที่มีเธอ""","GMM Music Public Company Limited",80,162,9,"270693"
150,"spotify:track:7sWVkwBJ8J1JPS1hmLwIYL","Zeal","สองรัก","GMM Music Public Company Limited",81,89,45,"270680"
151,"spotify:track:7cEjuwVdcjEpWsGQrxEpph","Only Monday","ซ่อนเธอไว้ในเพลง","GMM Music Public Company Limited",60,146,24,"267449"
