rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
108,"spotify:track:4seJa0pAQbNlbhYzxXLvm1","Danny Ocean, Sech","Priti","Atlantic Records",37,56,19,"31317"
109,"spotify:track:673exMTKtkaNosGrNAikth","LA NUEVA ESCUELA","Tu y Yo","Montevideo Music Group",5,110,124,"31277"
110,"spotify:track:3OJDtCdYs8QJnui708tEU3","Shakira","Soltera","Sony Music Latin",12,90,35,"31271"
111,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",83,118,14,"31048"
112,"spotify:track:23FJGRug9hlYUIBnrmkIBX","Airbag","Cicatrices","DALE PLAY Records / Airbag",50,50,64,"30892"
113,"spotify:track:2oZqk6nAy2CSAcmINCMi2N","Lauty Gram","QUE CABRONA","Sony Music Uruguay",12,103,22,"30648"
114,"spotify:track:09QfIIP4NUx4A3thmovb2o","Miranda!","Perfecta","Pelo Music S.A.",114,115,3,"30556"
115,"spotify:track:7jxHeJLVpnP7S08JFF4GBi","Shakira","Ciega, Sordomuda","Epic",92,-1,8,"30037"
116,"spotify:track:6yCjU5j6YHbux2VQCBTTE1","Melendi","Tu jardín con enanitos","WM Spain",85,116,21,"29974"
117,"spotify:track:3UVM7rdOSbm2vKDXB9SsWo","Cosculluela","Manicomio","Rottweilas, Inc.",22,126,74,"29911"
118,"spotify:track:43YmZ0EmBmqNLTCK8Go1tz","Miranda!","Mentía","Pelo Music",52,52,3,"29764"
119,"spotify:track:4dLLdfiniBhDP9dlJQIOi4","Los Ángeles Azules, Emilia","Perdonarte, ¿Para Qué?","OCESA Seitrack",1,130,63,"29715"
120,"spotify:track:4MUrUT38U98olfnyzMBCzm","Bad Bunny","KLOuFRENS","Rimas Entertainment LLC.",22,122,31,"29606"
121,"spotify:track:5q2JbCNi4FcnglgPfxcV65","Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin","Sola (Remix)","Spiff TV, LLC / Real Hasta La Muerte, Inc.",13,108,90,"29507"
122,"spotify:track:5dDlknAL9imbXXl7uG7oqe","Omar Courtz","⁠LUCES DE COLORES","Mr.305 Records / Rimas Entertainment LLC.",79,113,23,"29495"
123,"spotify:track:7cncPk3pgG1lNTUIiKxGev","La Penúltima","Carita Triste","Leapercu7",52,119,10,"29351"
124,"spotify:track:5aZ8rf2aPfZrnRWLA7bByo","Big One, Tiago PZK, La Joaqui","Pa´Que Te Acuerdes | CROSSOVER #8","Fifty One",6,139,44,"29351"
125,"spotify:track:0SoBfYjQHvL6cuWHtPUYnq","Valentino Merlo, The La Planta","Hoy","TLP Records",1,141,63,"29350"
126,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",94,149,43,"29199"
127,"spotify:track:2ANtIUI9cipWNI685VdlZb","Pablo Chill-E","Resentia","G STARR ENT",32,132,29,"29189"
128,"spotify:track:0C9V5jMElp7laZZdsCHufD","Los Tipitos","Campanas en la Noche","Pop Art",96,124,20,"29033"
129,"spotify:track:71iAechwVKGu26pahzFL0k","Morat","Cuando Nadie Ve","Universal Music Spain S.L.",32,136,151,"29018"
130,"spotify:track:6DUdDIRgLqCGq1DwkNWQTN","Maluma","Borro Cassette","Sony Music Latin",19,127,86,"28953"
131,"spotify:track:1Mqfdem6pgGVoULjSkkcc9","Airbag","Cae el Sol","DALE PLAY Records / Airbag",54,54,33,"28948"
132,"spotify:track:0T7UGB3GSqV831ejjao4c6","Juanjo Morgade, Maxi Alvarez, ONE PLAY","Contigo","One Play Network",117,117,18,"28854"
133,"spotify:track:4SJHHpKhcuXwDsCsPqshXj","Rauw Alejandro, Chencho Corleone","El Efecto","Duars Entertainment, Corp.",38,140,93,"28539"
134,"spotify:track:2KcNrONbZ0hvBPjvrDO2tx","Myke Towers","ALMAS GEMELAS","WEA Latina",26,125,43,"28450"
135,"spotify:track:5n2XTRsYFlZwNBp06KAjDX","Cosculluela, Bad Bunny","Madura","Rottweilas, Inc.",5,143,101,"28403"
136,"spotify:track:757S3L7HPrpcnJrxHhHt5h","Maxi Alvarez, ONE PLAY","Prestame","One Play Network",53,142,7,"28312"
137,"spotify:track:1mlGScrDQqHqmhdIqE8MmA","Morat, Juanes","Besos En Guerra","Universal Music Spain S.L.",41,152,190,"28110"
138,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",63,157,71,"28067"
139,"spotify:track:1TyBUtMxdmRfXhW3MmbxtQ","Luck Ra, Abel Pintos","QUE ME FALTE TODO","Sony Music Entertainment Chile S.A",8,137,93,"27984"
140,"spotify:track:0WDvsKwqhn9alx29Z80DmG","Bad Bunny","ALAMBRE PúA","Rimas Entertainment LLC",36,63,3,"27920"
141,"spotify:track:77dMSg2VHi2wwXjXNrmcrZ","Paulo Londra, Lenny Tavárez","Nena Maldición (feat. Lenny Tavárez)","WEA Latina",13,151,91,"27786"
142,"spotify:track:2sMxswHr9wX7kTUHULvJBJ","Melendi, Ha*Ash","Destino o casualidad","WM Spain",142,-1,5,"27706"
143,"spotify:track:7iKKXknfj32p25WHSMKUtv","Maxi Alvarez, ONE PLAY","Sobelove","One Play Network",143,-1,1,"27611"
144,"spotify:track:2w6Mm4S6HarxtLDDPr5eSp","Matías Valdez","No Te Da","Montevideo Music Group",133,133,2,"27610"
145,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",11,145,31,"27543"
146,"spotify:track:5PqINo0dGJTCyNXcBomwsb","Emilia","servidora 🕶️","Sony Music Latin",146,-1,1,"27478"
147,"spotify:track:5rQSQlZXXjMcevPGoAfE1z","Salastkbron, Diel Paris","Un Besito Más","WEA Latina",1,150,73,"27457"
148,"spotify:track:2q0k5EsonFQ2dgzpfUJRpu","La Vela Puerca","Llenos De Magia","Surco",79,148,83,"27276"
149,"spotify:track:0c82YIGpQ5dCaXpTNCk4sb","Tiago PZK, Anitta, Emilia","Alegría","WEA Latina",1,155,52,"27037"
150,"spotify:track:0Nj3EM5QMCIdTbWM3wzJGR","Los Cafres","Casi q' me pierdo","Pop Art",137,162,8,"27033"
151,"spotify:track:2OsAAhXEfoYjqiwujtPmPd","Pone La Premier","Corazon Partio","World Music",71,121,17,"26996"
152,"spotify:track:5AkLEnorFvb7WIJOGqKYVT","Big One, Emanero, Valentino Merlo","Si Un Día Estás Sola | CROSSOVER #7","Fifty One",1,191,48,"26991"
153,"spotify:track:40ITk1Q3t8QTGgtzK8KPZE","Lucky Brown, Tobal Mj, Nacho G Flow","Zona","Lucky Brown",59,84,4,"26976"
154,"spotify:track:2UIFEzinNxkSv9fY93SYhx","Emanero, Abel Pintos, The La Planta","BORRACHO Y LOCO","Fifty One",63,165,44,"26946"
155,"spotify:track:1fU2DcwVJEuUvGV3mUam8T","La Delio Valdez","Inocente","Delirio Valdez Records",121,168,40,"26746"
156,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",156,178,3,"26663"
157,"spotify:track:2VZrQstXX2ax3N5s9PDCc2","Bhavi, Seven Kayne, Milo j, Tiago PZK, KHEA, Neo Pistea","BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix","Bhavilonia",1,-1,32,"26601"
158,"spotify:track:0ZLyvF5xPFVv84cJbSdJzl","La Misma Cuadra","La Ilusión Se Terminó","La Misma Cuadra",95,128,12,"26571"
159,"spotify:track:5efako2nKuSqEK4fgL9Ols","La Bocha 12","Si Esta Casa Hablara","One Play Network",49,135,65,"26492"
160,"spotify:track:3tiJUOfAEqIrLFRQgGgdoY","Big One, FMK, Ke Personajes","Un Finde | CROSSOVER #2","Fifty One",1,153,123,"26290"
161,"spotify:track:48H3BsuIXKMYRTuFtxkRhh","YSY A","El Amanecer","Ysy A",105,-1,17,"26243"
162,"spotify:track:6OCNg7QchXJMww1LHMjIzb","Nicky Jam, Beéle","Hiekka","Nicky Jam",68,181,12,"26234"
163,"spotify:track:0OcYoSGA1CFGZcCuPLyfhj","Airbag","Solo aquí","WM Argentina",163,-1,2,"26209"
164,"spotify:track:4mvD8af1IQary3hoe0KgOU","Lucky Brown, Jere Klein, Nes","Bella","Lucky Brown",76,-1,7,"26070"
165,"spotify:track:1yg1tWFaYajN4b7vsKtYRE","La T y La M","El Doctorado","GraceMusic",59,195,41,"25849"
166,"spotify:track:1xCD7ccEtiylN6BBJ4ogXF","El Plan De La Mariposa","Túnel de la Vida","Savia Records",153,156,9,"25819"
167,"spotify:track:1pymWRCuZfCd0zdiBJo0Hj","Trueno","REAL GANGSTA LOVE","Sony Music Latin",1,-1,39,"25764"
