rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
91,"spotify:track:4MtsPGGUTIs4qFD8gOSJ3D","Masoom Sharma, Rahul Muana, Swara Verma, Ruba Khan","Chambal K Dakku","Bajewala Records",26,101,21,"1933784"
92,"spotify:track:4MU4Kfkd9EnkArK2ocQyqK","Arijit Singh, Harshdeep Kaur","Zaalima","Zee Music Company",58,74,111,"1933077"
93,"spotify:track:22ZIAjVRJTjYj5EwD0MjEJ","Masoom Sharma","2 Khatole (Lofi Mix)","Tuffan Music",17,92,19,"1930475"
94,"spotify:track:3t3wsY5IdLVzB9WidegJSU","Sachin-Jigar, Atif Aslam, Shreya Ghoshal","Jeene Laga Hoon","Tips Music Limited",28,88,48,"1928844"
95,"spotify:track:5wqMM6wOwXmX4rc1C3lUkd","Karan Aujla, Signature By SB","Courtside","Karan Aujla Music",13,80,12,"1923790"
96,"spotify:track:3WLJ7D5kh44K5eJ1NqZQ6W","Anuv Jain","Baarishein","Universal Music India Pvt. Ltd. (on behalf of Anuv Jain)",16,85,221,"1914083"
97,"spotify:track:1r6GbBLdtUK1Vl1IHT14wP","Mohammad Faiz, Jaani","Dekhha Tenu (From ""Mr. And Mrs. Mahi"")","Sony Music Entertainment India Pvt. Ltd.",2,87,64,"1902312"
98,"spotify:track:5JCDVLwteSXuwVqjCa7SwH","Shankar-Ehsaan-Loy, Shreya Ghoshal, Javed Bashir, Yusuf Mohammed, Vajid Ali","O Rangrez","Sony Music Entertainment India Pvt. Ltd.",47,97,40,"1902058"
99,"spotify:track:5KNuHsIeFtD0oukst77hBi","Roop Kumar Rathod","Maula Mere Maula","Saregama",71,96,42,"1883173"
100,"spotify:track:4bIQXffbALkCC0Xo6aTicP","Shaarib Toshi, Toshi Sabri","Maahi","Sony Music Entertainment India Pvt. Ltd.",74,91,12,"1881356"
101,"spotify:track:4OEBP1iwGmLtcM8UKRLm80","Pritam, Arijit Singh, Antara Mitra, Manoj Yadav","Itni Si Baat Hain (From ""Azhar"")","T-Series",81,94,43,"1868742"
102,"spotify:track:4O6mI0zZ6Jm1h8kuPRZU7U","Masoom Sharma","Ramayan Ka Saar","Masoom Sharma",71,107,8,"1866503"
103,"spotify:track:1fcCPXmH4vUzG6UQTTjZp5","Mithoon, Manoj Muntashir, Arijit Singh, Shashaa Tirupati","Phir Bhi Tumko Chaahunga","Zee Music Company",103,123,49,"1855143"
104,"spotify:track:37AGZMVr5V8mEMcCmGHroZ","Kailash Kher, Paresh Kamath, Naresh Kamath","Saiyyan","Sony Music Entertainment India Pvt. Ltd.",71,95,84,"1853187"
105,"spotify:track:7f88cYg6oaAaSJMfF2GANl","Jakes Bejoy, Sid Sriram, Sithara Krishnakumar","Minnalvala","Sony Music Entertainment India Pvt. Ltd.",8,78,13,"1848753"
106,"spotify:track:5vGiuYFSGekGLgbxhV1rD5","Atif Aslam, Pritam","Tu Jaane Na","Tips Industries Ltd",48,104,201,"1842889"
107,"spotify:track:7aE1lfskJLMHQnzCCP1zsV","Akhil Sachdeva, Mansheel Gujral","Humsafar (From ""Badrinath Ki Dulhania"")","T-Series",44,100,81,"1835840"
108,"spotify:track:0M0ANKNzmM4Odd7FNKghzW","Mitraz","Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","T-Series",2,109,80,"1815197"
109,"spotify:track:5OMUXgfXsSukZ0zxelpC3b","A.R. Rahman, Jaswinder Singh, Shiraz Uppal","Raanjhanaa (From ""Raanjhanaa"")","Sony Music Entertainment India Pvt. Ltd.",60,90,51,"1794458"
110,"spotify:track:5a2Hoi1wuhCA6Ob7pbOlpW","Divya Kumar, Priya Saraiya","Sun Saathiya","Zee Music Company",110,120,31,"1790584"
111,"spotify:track:1y1rQTkWmrZdJmjwuK07GC","Vishal Mishra, Manoj Muntashir","Kaise Hua (From ""Kabir Singh"")","T-Series",5,59,321,"1788418"
112,"spotify:track:1PDREqVNvmphIoNac3Vz8c","Himesh Reshammiya, Ankit Tiwari, Palak Muchhal","Sanam Teri Kasam","Sony Music Entertainment India Pvt. Ltd.",1,77,27,"1779800"
113,"spotify:track:48Ix6ReYdJf2H4mKb3TIpj","Atif Aslam, Alisha Chinai, Pritam","Tera Hone Laga Hoon","Tips Industries Ltd",30,102,221,"1779591"
114,"spotify:track:0YQJoDL6f46J0n1rOVkpxJ","Karan Aujla, Ikky","Softly","WM Canada",4,115,103,"1778120"
115,"spotify:track:6sF70gMVf9jg8QEogyVqBl","Kishore Kumar","Pal Pal Dil Ke Paas - From ""Blackmail""","Universal Music India Pvt Ltd.",69,103,7,"1775468"
116,"spotify:track:3Kl8p2PxVf8eAayLwTxOIm","Pritam, KK","Dil Ibaadat","Sony Music Entertainment India Pvt. Ltd.",54,111,33,"1759140"
117,"spotify:track:52itZ0w0CydihB2JCZEIft","Pritam, Mohit Chauhan, Irshad Kamil","Pee Loon","T-Series",37,151,78,"1748905"
118,"spotify:track:5fBghXeYCGIEVuExKytoJ9","Shubh","Fell For You","SHUBH",19,175,28,"1734274"
119,"spotify:track:5uoFuhKbCzo5cET3kn3pSv","Santhosh Narayanan, Sublahshini, Vivek","Pottala Muttaye - From ""Thalaivan Thalaivii""","Think Music",112,112,2,"1728636"
120,"spotify:track:1UWacd8x8tPPwmrPB1MoBI","Pritam, Arijit Singh","Ae Dil Hai Mushkil Title Track","Sony Music Entertainment India Pvt. Ltd.",79,121,288,"1710902"
121,"spotify:track:5PUXKVVVQ74C3gl5vKy9Li","Jasleen Royal, Arijit Singh, Dulquer Salmaan","Heeriye (feat. Arijit Singh)","Warner Music India",1,108,106,"1696448"
122,"spotify:track:4sgYmcu4FKb1ZC6qBlxMiw","Anand Bhaskar, Romy, Ginny Diwan","Vaaroon","Zee Music Company",117,117,6,"1692407"
123,"spotify:track:5ZLkihi6DVsHwDL3B8ym1t","Shubh","One Love","SHUBH",3,106,103,"1687673"
124,"spotify:track:4Lo6I7kkHWgAVRmdILLhig","Arijit Singh, Afsana Khan, Tanishk Bagchi, Irshad Kamil","Tu Hain Toh Main Hoon (From ""Sky Force"")","Saregama India Ltd",7,134,26,"1674650"
125,"spotify:track:3PWfXDaGLxwN9UJDHMEyKi","Masoom Sharma, Sheenam Katholic, Mr. Boota, Kay D, Aarohi Raghav","Teri Ramjhol Bole Gi (feat. Kay D & Aarohi Raghav)","Empire Media",18,138,21,"1645237"
126,"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Ed Sheeran","Shape of You","Atlantic Records UK",63,118,256,"1618912"
127,"spotify:track:2eqUVYJVnlDs8PgOtuOlJm","Jind Universe","High On You","Sony Music India / Nine",127,149,5,"1615129"
128,"spotify:track:6ZjyKXvQIwalLNmJo3exz3","Anirudh Ravichander, Sublahshini, Krishna Kanth","Monica (From ""Coolie"") (Telugu)","Sun Pictures",128,-1,1,"1600443"
129,"spotify:track:2PxZSFOv7RebkeSEwQTjr7","Mustafa Zahid","Tera Mera Rishta","Vishesh Films Pvt Ltd.",88,119,22,"1598927"
130,"spotify:track:5FXMRdJjKq1BIX4e8Eg9mK","Vishal-Shekhar, KK","Ajab Si","T-Series",19,113,187,"1594586"
131,"spotify:track:4Qu8LlchmRCaPBKBArcNsA","Shankar-Ehsaan-Loy, Shafqat Amanat Ali","Tere Naina","Sony Music Entertainment India Pvt. Ltd.",89,137,30,"1592271"
132,"spotify:track:0l6g8Z8mqGbGXFOjigYetD","Pritam, Arijit Singh","Hawayein","Sony Music Entertainment India Pvt. Ltd.",51,129,200,"1583164"
133,"spotify:track:0loZn1c5heXie7OAtvK6nH","Jubin Nautiyal, Manoj Muntashir","Humnava Mere","T-Series",66,135,154,"1582305"
134,"spotify:track:2A7uwnEzSin7nf0498AE3x","The Rish, Shilpa Rao","Barbaad Reprise - Female","YRF Music",57,57,3,"1575480"
135,"spotify:track:1dFrZr9eMUsFqeag04ClqD","Dhanda Nyoliwala","Russian Bandana","Universal Music India Pvt Ltd.",6,116,45,"1573668"
136,"spotify:track:3xF15SqY32Mno3UUMBirhU","Vishal-Shekhar, Chinmayi, Shekhar Ravjiani","Zehnaseeb","Sony Music Entertainment India Pvt. Ltd.",136,140,4,"1559627"
137,"spotify:track:3HiobOOpSpMsi95WBKPBYk","Jeet Gannguli, Arijit Singh, Rashmi Virag","Hamari Adhuri Kahani (Title Track)","Sony Music Entertainment India Pvt. Ltd.",56,125,194,"1558838"
138,"spotify:track:2L5fXA2pNlTXJvQTeMZn4z","Masoom Sharma, Swara Verma","Lofar","Shikaari Music",25,142,21,"1554884"
