rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
125,"spotify:track:1XBYiRV30ykHw5f4wm6qEn","The Kid LAROI","NIGHTS LIKE THIS","Columbia",68,131,47,"27695"
126,"spotify:track:1ShRHPAiiIrh0arZbSFmx1","The Marías","Heavy","Nice Life/Atlantic",87,138,33,"27689"
127,"spotify:track:3E619cvUK3bgsm4xH9A34H","Laufey","Lover Girl","Vingolf Recordings",104,104,6,"27184"
128,"spotify:track:6GwqmeAv76WbU2eXBqPgK4","ابراهيم البندكاري","بوس","Al Haneen",128,148,18,"27180"
129,"spotify:track:0JP9xo3adEtGSdUEISiszL","XXXTENTACION","Moonlight","Bad Vibes Forever, LLC",6,166,208,"27093"
130,"spotify:track:2BwO5K8Q7EPAJSGze3AAh9","Sabrina Carpenter","Manchild","Island Records",36,103,15,"27069"
131,"spotify:track:3oEkrIfXfSh9zGnE7eBzSV","ABBA","The Winner Takes It All","Polar Music International AB",131,162,3,"27030"
132,"spotify:track:2KhrPRV0V1FS2l4eQMJUWt","Cigarettes After Sex","Sweet","Partisan Records",93,146,109,"27025"
133,"spotify:track:4R2kfaDFhslZEMJqAFNpdd","Taylor Swift","cardigan","Taylor Swift",37,121,89,"26901"
134,"spotify:track:6DnNRsHBfsldXFRsk0chTF","مارفن","راه قلبي يبكي وينوح","8232624 Records DK",25,141,30,"26823"
135,"spotify:track:00RLNHc2jkEjUoCUlFgPVT","Dream, Ivory","welcome and goodbye","Dream, Ivory LLC",45,129,61,"26706"
136,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",5,132,37,"26451"
137,"spotify:track:51ZQ1vr10ffzbwIjDCwqm4","Ariana Grande","we can't be friends (wait for your love)","Republic Records",3,167,70,"26293"
138,"spotify:track:4COh36O2bC5kFn0b7Xwd9A","Majid Almohandis","رفوف الذكريات","Al Khawar Art Production",138,150,5,"26199"
139,"spotify:track:0H6qHOBRnLawhzFeRtLGwK","صابر الجميعي","على تحني لوكان يادنيا","Sarry El Sheraay",138,151,6,"26198"
140,"spotify:track:4Qk9Qz7Evzkab69DmTUgWT","Klash","AlMotalazimah (khotta taswiqiyah)","Sarat Productions",79,133,10,"26149"
141,"spotify:track:2esZG2XFtuoWWA9AfDvSxy","FloyyMenor, Cris MJ","Gata Only","FloyyMenor under exclusive license to UnitedMasters LLC",5,153,76,"26122"
142,"spotify:track:2AX5E86cn9n2dgioZEjirI","The Stranglers","Golden Brown","Parlophone UK",137,137,6,"26111"
143,"spotify:track:0QkWikH5Z3U0f79T9iuF6c","Lady Gaga","Judas","Interscope",40,140,67,"26107"
144,"spotify:track:0d28khcov6AiegSCpG5TuT","Gorillaz, De La Soul","Feel Good Inc.","Parlophone UK",120,142,11,"26098"
145,"spotify:track:1I37Zz2g3hk9eWxaNkj031","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Your Idol","K-Pop Demon Hunters",64,119,12,"25906"
146,"spotify:track:57Ju5lrvYBZJvmxKFrtzSt","slxughter","envy - slowed","slxughter",146,-1,1,"25800"
147,"spotify:track:7hCUHXMZknrymWCyeMx8B6","cape, JXNDRO, Sayfalse","MONTAGEM RUGADA","Zime Media AB",147,-1,1,"25786"
148,"spotify:track:0Gz4Q1Bmyef5yA0G6LIIQZ","2hollis","poster boy","2hollis",141,159,8,"25742"
149,"spotify:track:3GYlZ7tbxLOxe6ewMNVTkw","Billie Eilish","TV","Darkroom/Interscope Records",20,176,116,"25731"
150,"spotify:track:2O2Viv9XAh91LhakB9a8DH","اهملتك FM","لا نحاسبك لا نلومك ، خاين كبير من يومك - نسخه مطلوبه","9244051 Records DK",54,120,20,"25674"
151,"spotify:track:02sy7FAs8dkDNYsHp4Ul3f","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Soda Pop","K-Pop Demon Hunters",89,118,11,"25631"
152,"spotify:track:0Sgfw1gC0J8JJYT6sUfcOL","مارفن","اغاني مطلوبه 2025 | عليها عليها زاد هبالي","8232624 Records DK",19,149,32,"25562"
153,"spotify:track:7DY756WOLyOz2Xnhw4EFiC","The Weeknd, Anitta","São Paulo (feat. Anitta)","XO / Republic Records",10,163,45,"25558"
154,"spotify:track:1gPK2XIoMxf0mcQD6jo17E","مارفن","مجنون بيك ياعمري - ياحبي اشكم اشكم","8232624 Records DK",66,154,21,"25518"
155,"spotify:track:7hO4FVqKF2nsSXTtPqLsaR","Saif Amer","Warqa","Star Casablanca",2,134,153,"25476"
156,"spotify:track:2ZYxLGcohgsKpor8pGMc0o","Mohamed Hamaki","و افتكرت","Delta Sound",156,200,5,"25393"
157,"spotify:track:0TFTAtCYhp2tQ9KcJIZb55","sombr","undressed","Warner Records",79,157,20,"25390"
158,"spotify:track:6dBUzqjtbnIa1TwYbyw5CM","TV Girl","Lovers Rock","TV Girl",71,198,128,"25372"
159,"spotify:track:02BcXEH1zJYbXSabPtNlKf","Don Toliver, Doja Cat, F1 The Album","Lose My Mind (feat. Doja Cat) [From F1® The Movie]","Atlantic Records",47,128,12,"25333"
160,"spotify:track:600lrMpRgxotex7UnTYBpa","بندر بن عوير","القدر جابك","Alfan Music",72,182,12,"25263"
161,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",1,155,72,"25231"
162,"spotify:track:1pYRxS9QEZFJ70ZZOByrY4","Husam Al Rassam","Esht Lahazat","Al Baher Al Abiad Production",81,-1,66,"25231"
163,"spotify:track:49t3uvN9hUNefdvtaD6HBj","Yb Wasg'ood, Ariis","LUNA BALA - Slowed","void",9,107,19,"25141"
164,"spotify:track:2EwYLXM2ahM237hV1VJ1Wv","مارفن","خليجي طرب | جروحي من بعد روحي","8232624 Records DK",58,144,22,"25055"
165,"spotify:track:64bLrZFkl9wQ4sbvuXdzTg","مارفن","قلو نوز - Gole naz","8232624 Records DK",24,156,40,"25034"
166,"spotify:track:42VsgItocQwOQC3XWZ8JNA","Travis Scott, Playboi Carti","FE!N (feat. Playboi Carti)","Cactus Jack/Epic",6,171,106,"24993"
167,"spotify:track:3sRLayspROqc62YZ0DhEdR","DJ VTTT77, DJ VYZ, Mc Rd","DOORS LIGHT FUNK - SLOWED","DJ VTTT77",167,-1,1,"24961"
168,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",168,180,7,"24901"
169,"spotify:track:2uIX8YMNjGMD7441kqyyNU","Billie Eilish","ocean eyes","Darkroom",169,-1,10,"24650"
170,"spotify:track:7uDUb37h7Xdhza1eWMkoJv","Chase Atlantic","Friends","BMG Rights Management (US) LLC",111,161,46,"24616"
171,"spotify:track:1uu7TktDJ3dnnMN4AZx9T8","Badr El Laimon","Ahb El Layil W Sahro","Rock records",86,-1,27,"24550"
172,"spotify:track:3vZ3ngEbunTiK4fOVKyzYD","Saint Levant, Marwan Moussa","KALAMANTINA / كلمنتينا","Saint Levant",124,147,9,"24452"
173,"spotify:track:6VObnIkLVruX4UVyxWhlqm","Adele","Skyfall","XL Recordings/Columbia",17,160,89,"24399"
174,"spotify:track:4M70OqsMnH6GwzEFtYAF5o","d4vd","Feel It","Darkroom/Interscope Records",30,193,30,"24285"
175,"spotify:track:5E30LdtzQTGqRvNd7l6kG5","The Neighbourhood","Daddy Issues","Columbia",62,175,211,"24242"
176,"spotify:track:2nMeu6UenVvwUktBCpLMK9","Lana Del Rey","Young And Beautiful","Polydor Records",111,-1,70,"24229"
177,"spotify:track:5QO79kh1waicV47BqGRL3g","The Weeknd","Save Your Tears","Republic Records",5,-1,184,"24218"
178,"spotify:track:6kIPQtxunhuaHSDVMGgQfY","Habeeb Ali","El Sora","Sada El Remas",178,-1,1,"24183"
179,"spotify:track:6aOrHQlSBgKUvjhWvStnmN","Slow Moe, Lls2y52yl","Tiarah","Slow Moe",179,184,2,"24157"
180,"spotify:track:51rfRCiUSvxXlCSCfIztBy","Gracie Abrams","I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",49,174,45,"24154"
181,"spotify:track:607bne94QGFMdKsXYCbdCF","مارفن","عم بندهلك كل دقيقه","8232624 Records DK",77,165,14,"24148"
182,"spotify:track:6CU68VwcV10VfulVQMfj3X","Cairokee","Ana Negm","Cairokee-Roma",175,178,6,"24103"
183,"spotify:track:54PbBpquVfhfrwRwvjSXbI","Charlie Puth, Selena Gomez","We Don't Talk Anymore (feat. Selena Gomez)","Artist Partner",49,-1,72,"24103"
184,"spotify:track:6aJn7Cst74cj4lNIiPRgav","KATSEYE","Touch","HYBE/Geffen",73,197,21,"24062"
185,"spotify:track:2VT15rDP0A1PCeEOkp7yAZ","قائد حلمي","الله لا يجعلني شامت","رافت البدر",45,139,43,"24035"
186,"spotify:track:45DbtGwLq1NRUN4L2jcfzJ","رعد وميثاق","مهموم","Al Haneen",96,196,61,"24029"
187,"spotify:track:607JmfmWDTOgacXpWYFmNW","Klash","NASEHAT MUSHFIQ","WestCoast G,z",143,169,11,"24015"
188,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",1,135,230,"23864"
189,"spotify:track:3zBmOxmTNgDppTO55zlXZf","Klash","AL ADEEB FE FAN ATTA'DEEB","WestCoast G,z",22,177,63,"23755"
190,"spotify:track:0Bb3JNNt7wi7PnsAyOD7v6","h6itam, DYSMANE, ICEDMANE","CANTO DE LUNA - SUPER SLOWED","D.Y.S Records",127,158,7,"23721"
191,"spotify:track:5joUv1C0gvzrSYUbpSUgN9","حمزة عيسى","يا حبوب","Al Bedaya",191,-1,1,"23651"
192,"spotify:track:7j4OmvkjRz0PrjFADlHfQx","Adele","Set Fire to the Rain","XL Recordings",1,194,188,"23631"
193,"spotify:track:2gsSZXeOlqfHcSOb0dVFfS","Maher Ahmed","Taly Waqt","Sada El Remas",72,-1,11,"23601"
194,"spotify:track:5ymkm3U65CzrLbij6eerzp","GXMZ, Repsaj","CLIMA LINDO - SLOWED","GXMZ",112,195,7,"23520"
195,"spotify:track:20IgyjZCkaLFXqXERnN5tq","علي حاتم","ارجع علينا","MCP",172,172,8,"23426"
196,"spotify:track:0nHYCn2olPodsflSaKiDt3","TUL8TE","Habeeby Da","MDLBEAST Records",196,-1,1,"23402"
197,"spotify:track:3M0lSi5WW79CXQamgSBIjx","Chase Atlantic","Swim","Warner Records",18,181,62,"23400"
198,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",7,199,348,"23289"
199,"spotify:track:3RXUgPNIbUgFxsDWuBQEt6","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","How It’s Done","K-Pop Demon Hunters",84,143,12,"23263"
200,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",21,-1,170,"23210"
