rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
139,"spotify:track:1JjHQ4lfAjbDq7wmOmH9wM","Pashanim, Ceren","Shabab(e)s im VIP","Urban",2,146,14,"62887"
140,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,75,154,"62790"
141,"spotify:track:1zi7xx7UVEFkmKfv06H8x0","Drake, Wizkid, Kyla","One Dance","Cash Money Records/Young Money Ent./Universal Rec.",10,175,117,"62722"
142,"spotify:track:5OFVzqSeFxGpvDGyHvVeLj","Mr. Belt & Wezol","It's Not Right But It's Okay","Sony Music Entertainment",64,151,26,"62610"
143,"spotify:track:1NKjc6bRHutPoaVtYclFC3","Marten Lou","Your Body","Warner Music Central Europe",88,115,10,"62434"
144,"spotify:track:1B62o4CbdL9ckGvwsz2cgn","SYML","Where's My Love","Nettwerk Music Group",81,120,87,"62152"
145,"spotify:track:1oAwsWBovWRIp7qLMGPIet","Cigarettes After Sex","Apocalypse","Partisan Records",32,-1,52,"61877"
146,"spotify:track:4odiyU3myG29Ld0wurMfE8","Sean Paul","She Doesn't Mind","VP Records",114,123,20,"61303"
147,"spotify:track:480j122Gpi252OIfy4SNzm","MoBlack, Salif Keita, Benja (NL), Franc Fala, Cesária Evora","Yamore","Universal Music Division Decca Records France",37,179,31,"61286"
148,"spotify:track:2lCkncy6bIB0LTMT7kvrD1","J Balvin","Azul","UMLE - Latino",56,158,23,"60942"
149,"spotify:track:2jWZ9NZotZb2hN5obKx2FA","HUGEL, Dawty, Preston Harris","Loosen Up","Virgin",115,-1,5,"60906"
150,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",150,153,3,"60878"
151,"spotify:track:4x7j9ed3FRH6CHj27kiTQ3","Oimara","Wackelkontakt","stereopolrecords / ZEITGEIST for Virgin Records",2,152,28,"60595"
152,"spotify:track:1FEiijYPJtyswChfcpv3p0","Lana Del Rey","Summertime Sadness","Polydor Records",71,183,130,"60584"
153,"spotify:track:4QNpBfC0zvjKqPJcyqBy9W","Pitbull, AFROJACK, Ne-Yo, Nayer","Give Me Everything (feat. Nayer)","Mr.305/Polo Grounds Music/J Records",55,135,58,"59721"
154,"spotify:track:6F1q9sr0YSCqsxtitQ4N0V","Jul","Toi et moi","D'Or et de Platine",154,-1,1,"59674"
155,"spotify:track:3lviRnxqGTGtOZu90fvqgw","Luciano","Big Boy","URBAN",30,30,2,"59618"
156,"spotify:track:4kLLWz7srcuLKA7Et40PQR","Black Eyed Peas","I Gotta Feeling","Interscope",50,160,180,"59592"
157,"spotify:track:0lHAMNU8RGiIObScrsRgmP","David Guetta, Sia","Titanium (feat. Sia)","Parlophone (France)",79,79,31,"59562"
158,"spotify:track:7j82c3TLMvBlhXbCA2YA7v","Yll Limani","Larg","Three60 Music",158,-1,1,"59483"
159,"spotify:track:5qaEfEh1AtSdrdrByCP7qR","Imagine Dragons","Demons","Kid Ina Korner / Interscope",35,174,181,"59459"
160,"spotify:track:37Tmv4NnfQeb0ZgUC4fOJj","Dire Straits","Sultans Of Swing","EMI",114,199,26,"59400"
161,"spotify:track:0FDzzruyVECATHXKHFs9eJ","Coldplay","A Sky Full of Stars","Parlophone UK",20,97,75,"59183"
162,"spotify:track:3mfER4ORePHvN35cbZ3dkV","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",2,73,207,"59160"
163,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Eminem Catalog PS",4,169,147,"58910"
164,"spotify:track:6393yGahSJ9slVdOwSxOVR","Chappell Roan","Pink Pony Club","Chappell Roan PS/ Island",80,188,18,"58855"
165,"spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt","Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike","Thank You (Not So Bad)","Ministry of Sound Recordings",23,100,82,"58848"
166,"spotify:track:2VxeLyX666F8uXCJ0dZF8B","Lady Gaga, Bradley Cooper","Shallow","A Star is Born OST",1,187,326,"58750"
167,"spotify:track:3tt9i3Hhzq84dPS8H7iSiJ","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",25,137,118,"58490"
168,"spotify:track:1XBYiRV30ykHw5f4wm6qEn","The Kid LAROI","NIGHTS LIKE THIS","Columbia",40,181,46,"58291"
169,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",152,-1,6,"58273"
170,"spotify:track:5p3SJ3CYqrmFbboAtfNo5n","David Guetta, Kid Cudi","Memories (feat. Kid Cudi)","Parlophone (France)",68,88,69,"58097"
171,"spotify:track:6leQi7NakJQS1vHRtZsroe","Pashanim","Mittelmeer","Urban",3,194,59,"58083"
172,"spotify:track:3RJqGQaU5C6olAtsaO7hjc","Ely Oaks, LAVINIA","Borderline","JINX Music",66,163,15,"57969"
173,"spotify:track:2uqYupMHANxnwgeiXTZXzd","Dasha","Austin (Boots Stop Workin')","Warner Records",14,143,74,"57805"
174,"spotify:track:7D0RhFcb3CrfPuTJ0obrod","Coldplay","Sparks","Parlophone UK",168,168,2,"57770"
175,"spotify:track:7BY005dacJkbO6EPiOh2wb","The Animals","House of the Rising Sun","Parlophone UK",128,128,3,"57750"
