rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
59,"spotify:track:11gTRcdz4wK32fghA2vrX7","FRIENDLY THUG 52 NGG","Lost Angeles","KOALA MUSIC",3,53,92,"17754"
60,"spotify:track:0nXNsOS6gKYKS6pdoTBeHR","FRIENDLY THUG 52 NGG","No Gletcher Gang 2","KOALA MUSIC",6,40,15,"17659"
61,"spotify:track:3jy14G6E0lcNdK9i6h4Uup","тёмный принц","вклубе","rplus / РАСКАТ",52,52,7,"17546"
62,"spotify:track:0dXQW0caulrxc9zTm00rrE","Ваня Дмитриенко","Настоящая","Zion Music",26,61,16,"17127"
63,"spotify:track:6nzvwdvEPOI6RMFjmTVe4X","Icegergert","Сын от чёрных королев","GAZ",53,58,11,"17036"
64,"spotify:track:6rOHlBLsBXzJx2k9ZROzEq","Big Baby Tape","Turbo (Majestic)","BENZO RECORDS",5,60,52,"16993"
65,"spotify:track:71LcXxyXOLybJnTjno152t","Icegergert","Гектор","GAZ",5,23,30,"16884"
66,"spotify:track:2pyjr4JKVkG03LmWBIusur","Poshlaya Molly","Адская колыбельная","DROPBLED",1,49,49,"16867"
67,"spotify:track:5qC3bVpPy0yTIh3R7xhzEI","T-Fest, Ivan Dorn, DJ INSAMA","Прониклась мной","T-Fest",28,48,5,"16860"
68,"spotify:track:3VieScqwrczxcSVTsH20gu","FRIENDLY THUG 52 NGG","AIST","KOALA MUSIC",9,89,15,"16758"
69,"spotify:track:1P62f3cGqeoeDVulZ0U35M","Pepel Nahudi","ONE CALL","KOALA MUSIC",48,69,9,"16578"
70,"spotify:track:0yxdxf29fhkW9L0FIjJF6r","Egor Kreed","Море","@58 Records",70,-1,1,"16404"
71,"spotify:track:5rELQYNJgj4btlKsA47hiR","MORGENSHTERN","ДОМ (Лондон, Прага, Ницца)","ALISHER",3,63,6,"16398"
72,"spotify:track:7AuYlke4foydiCbZbqS5JP","MORGENSHTERN","КРАСНЫЙ ФЛАГ","ALISHER",5,81,6,"16286"
73,"spotify:track:5bkfPKnHLi6AUP3fJA5Xf5","Noize MC","Вселенная бесконечна?","Noize MC",50,88,33,"16240"
74,"spotify:track:475G1r5398lgxVY7Ld7m8r","Max Korzh","Стань","Макс Корж",26,76,48,"16184"
75,"spotify:track:6NBZu27n3cxEk4y4c2Kxi8","bbno$, Ironmouse","1-800","bbno$$",50,84,6,"16118"
76,"spotify:track:2tSOz2c3qqs8jOdlyMvHww","кис-кис","мальчик","Booking RM",5,74,48,"15818"
77,"spotify:track:0mROspyBziPHPyxTPFvKaH","Falling In Reverse, Marilyn Manson","God Is A Weapon","Epitaph",43,51,6,"15467"
78,"spotify:track:4IjiY0sShCYUEEoOSEwsgY","Monetochka","Каждый раз","монеточка",54,79,54,"15460"
79,"spotify:track:6wkSonQhYvYe1LPeEswTYk","урал гайсин","я молодой вампир vamp","Урал Гайсин",79,165,3,"15429"
80,"spotify:track:0i8YObgqnjZYoYJOQbwLHq","Poshlaya Molly, Eldzhey","Дом Периньон","DROPBLED",25,87,179,"15258"
81,"spotify:track:3TpprxzjCl9wepoJfbpq39","Мэйби Бэйби","Аскорбинка","Booking RM",75,75,9,"15178"
82,"spotify:track:1wz0imYNaHwJbkDrA9GfKR","FRIENDLY THUG 52 NGG, SaintPrince 52","OCG","KOALA MUSIC",13,54,15,"15092"
83,"spotify:track:3quiRdT1EDD8RTBokPpLLC","HELLOVERCAVI, SODA LUV","СВАГА","KOALA MUSIC",11,106,9,"15046"
84,"spotify:track:0PBTlQ84CBJF0tBnKGmQa6","V","FRI(END)S","BIGHIT MUSIC",6,103,72,"15009"
85,"spotify:track:0dUSYynpQkugfJ6Ic4LVKU","GORILLA GLUE, LIL NAKUR","Браги два бидона","PLAY WELL MUSIC",24,86,17,"15009"
86,"spotify:track:7gMfVc4zfNIxuMyMGglOHa","Jimin","Rebirth (Intro)","BIGHIT MUSIC",6,65,29,"15005"
87,"spotify:track:2hZcfgWVxNZ7Q8xVn6xo70","FRIENDLY THUG 52 NGG","DreamKeeperc","Fontanka Records",30,85,36,"14975"
88,"spotify:track:1lx65Q3Vfy8NsfaA5DXUcJ","FRIENDLY THUG 52 NGG","Sladki Snov Rapper 2","KOALA MUSIC",17,102,88,"14831"
89,"spotify:track:46tUEN0dIhVxYbOgxCvkF4","Monetochka","Селфхарм","M2",1,80,54,"14666"
90,"spotify:track:1zXv6MYOAyjgMA0iPypPkO","Xolidayboy","Пожары","XOLIDAYBOY",17,78,66,"14649"
91,"spotify:track:51hYk2CuUoZPd003ENH5lO","урал гайсин","священная война","Урал Гайсин",91,139,5,"14314"
92,"spotify:track:3DoKepDy2hXhtWizxMszJS","Женя Трофимов, Комната культуры","Поезда","Lotus Music",9,83,82,"14269"
93,"spotify:track:37dd1FfHu4tt2Rvj3cpBVg","Poshlaya Molly","Даже моя бэйби не знает","DROPBLED",78,100,44,"14230"
94,"spotify:track:5gSzWAAZIZBhSDSufE7nHv","Big Baby Tape, Aarne","Supersonic","BENZO RECORDS",1,82,58,"14138"
95,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",6,93,87,"14088"
96,"spotify:track:3peGvpKhK1lBmvk8WdY8N5","Poshlaya Molly","Буду твоим пёсиком","DROPBLED",88,96,25,"14051"
97,"spotify:track:2d2C4YGXudzgQvZwdVH3SI","ink street 101","без тебя","eclipse media",91,95,7,"13980"
98,"spotify:track:03unkZidjzUbrOd35kUPXd","тёмный принц","отвратительный король","rplus / РАСКАТ",85,90,7,"13979"
99,"spotify:track:2t7B8DDBgLbMcYVMTo8vd5","Mindless Self Indulgence","Seven Minutes in Heaven","UCR,LLC",99,118,2,"13632"
100,"spotify:track:2qsXes5vZabYIFqqYCP1Hs","Дора, Мэйби Бэйби","Барбисайз","Streaming club, under exclusive license to Rhymes Music Inc.",24,104,35,"13441"
101,"spotify:track:094IjHeVUviN4aBnSXYsuj","Nakama, ΣP","DIA DELÍCIA","Nakama",69,91,9,"13399"
102,"spotify:track:7CZyCXKG6d5ALeq41sLzbw","Post Malone, Ozzy Osbourne, Travis Scott","Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Republic Records",97,97,2,"13358"
103,"spotify:track:6FvlCgtlMs2lfIYT4jaBcY","madk1d","питер паркер","KOALA MUSIC",66,92,19,"13320"
104,"spotify:track:1yaM4aXokG2UVKrou4Rn1y","MACAN, Big Baby Tape","Гос. Подряд","GOLDEN SOUND",32,70,3,"13254"
105,"spotify:track:1ndGHWAEXWz9jVr5bAgCrU","Poshlaya Molly","Типичная вечеринка с бассейном","DROPBLED",105,114,36,"13167"
106,"spotify:track:10I5rhhFoWZDIN3kEc6Dbo","Jimin","Who (Acoustic Remix)","BIGHIT MUSIC",11,120,39,"13065"
107,"spotify:track:7f6ALwMTMLAhXCfoHYLCsx","Max Korzh","Горы по колено","Макс Корж",82,133,106,"12999"
108,"spotify:track:4GbHNkWtWUIZAL0owhoz1i","Max Korzh","Эндорфин","Макс Корж",49,107,145,"12970"
109,"spotify:track:5Ni187gYCgJG90rGfMX7CY","Monetochka","Нимфоманка","монеточка",37,98,76,"12885"
110,"spotify:track:3rpi29kD9YUDwXz1yhjS7Q","Дайте танк (!)","Люди","Дайте танк (!)",30,105,134,"12878"
111,"spotify:track:2K373m3ampRHhiR1x5NfBk","Gorod 312","Фонари","ООО ""Р-Концерт""",52,123,28,"12812"
112,"spotify:track:0L3nGkIngSTWMKp1Yz4pSU","Мэйби Бэйби, Alyona Shvets","Тамагочи","Booking RM",108,108,3,"12666"
113,"spotify:track:7pbdzvp9B8Xrqnr1giK4VP","Poshlaya Molly, KATERINA","Мишка","DROPBLED",113,171,2,"12664"
114,"spotify:track:5H5vjKgaPcXUtMMElJrldo","Мэйби Бэйби","Oh My God!","Booking RM",114,-1,1,"12632"
115,"spotify:track:3rGOoMEEIBonQBGOX48yjB","DEAD BLONDE","Банкомат","GSPD",55,138,43,"12563"
116,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",19,121,180,"12555"
117,"spotify:track:1GS1TAA8zc5oGiYE1z9Q53","Endspiel","Малиновый рассвет","Hajime records",43,153,57,"12505"
118,"spotify:track:7iTyMRXGbIyGAprE9RMkGR","T.A. Loc","Любят суки","Koala Music",38,125,36,"12484"
119,"spotify:track:74rl89i6GlqWwOFVlBtEh9","Дора","Младшая сестра","Streaming club, under exclusive license to Rhymes Music Inc.",77,132,36,"12463"
120,"spotify:track:5rNUeU3CkqVybefOk1lJVy","T-Fest, OG Buda","reasons","T-Fest",120,-1,1,"12395"
121,"spotify:track:7MjpBQViz7f1133ni9psvu","SQWOZ BAB","TOKYO","SQWOZ BAB",7,124,20,"12344"
122,"spotify:track:6HRlw9G52s6Vg70rkM4Ztr","ПОЛМАТЕРИ","только для тебя","Streaming Club, under exclusive license to Rhymes Music Inc.",58,117,78,"12342"
123,"spotify:track:6xV7Be6XEvkSnighmh2Tzj","Tyler, The Creator","Sugar On My Tongue","Columbia",123,149,2,"12299"
124,"spotify:track:4vFjz0tXIr8ncLpBCiBJpc","Полка","Знаю","S&P Digital",53,111,35,"12207"
125,"spotify:track:5cw12f6sAU2O88o6gn6Rw1","Lida","Фото со звездой","Lida",17,101,36,"12190"
126,"spotify:track:5BFADKJgtL2eZ4XZJq8zEc","Max Korzh","Пьяный дождь","Макс Корж",49,122,149,"12138"
127,"spotify:track:2z7DQkasXOP96pReH2ZdQI","fallen777angel","пускают стрелы","eclipse media",42,130,36,"12114"
128,"spotify:track:21LIoC4ZxT3F8xq9gidNbX","xxxmanera","Never Broke Again","steezy",2,109,167,"12010"
129,"spotify:track:4gkQh8gUuxTpzQeJYRIpvb","Женя Трофимов","Самолеты","Neva'zhno music lab",12,115,33,"11990"
