rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
168,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",5,156,132,"30573"
169,"spotify:track:3Qj9Fy8BPbWmICTiNkuqB7","Jay Chou, Lara Liang","珊瑚海","Universal Music Taiwan (JVR)",68,176,53,"30524"
170,"spotify:track:0iIcuwia47B5bzjVpyUwyI","Ed Sheeran, F1 The Album","Drive (From F1® The Movie)","Atlantic Records",101,153,6,"30517"
171,"spotify:track:4tLmgS4JGvc3OZJOya96cj","Tyson Yoshi, Yan Ting","⁠1994","Just Kidding Limited",16,159,22,"30340"
172,"spotify:track:1dBroK67DSaaEE5kvkVjzG","Keung To","作品的說話","Music Nation Records Co Ltd.",1,193,165,"30292"
173,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",35,184,75,"30268"
174,"spotify:track:3gJAFFELdZyIM8tiwLAikg","JENNIE, Dua Lipa","Handlebars (feat. Dua Lipa)","OA Entertainment/Columbia",11,183,22,"30262"
175,"spotify:track:7kwk6IdfKLnP1srqfXVOjq","MC 張天賦","與我無關","WM Hong Kong",3,177,101,"30237"
176,"spotify:track:3ehzxWtA5tXu8o3zFdhNSq","Eason Chan","葡萄成熟時","Cinepoly Records Co. Ltd.",83,-1,66,"30214"
177,"spotify:track:1U8b4gia9Gh4xigIODhbtL","Zpecial","其實最怕寫情歌","WM Hong Kong",91,115,12,"30074"
178,"spotify:track:2tqF9MPNdYdJU70U0ULO23","Jay Chou","告白氣球","Universal Music Taiwan (JVR)",16,172,377,"29896"
179,"spotify:track:7BqBn9nzAq8spo5e7cZ0dJ","Bruno Mars","Just the Way You Are","Elektra (NEK)",57,-1,87,"29868"
180,"spotify:track:5h6R8U3G3GLZc6nMsrxBV4","Raymond Lam","愛在記憶中找你","EEG",39,-1,18,"29663"
181,"spotify:track:1VMjKAlstScXNlJgbc7NCn","Shiga Lin","人生使用說明","Starz Track Limited",141,174,6,"29453"
182,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment",1,168,75,"29170"
183,"spotify:track:0LqbLHWFiy0qTfpk1Q1Ggc","KATSEYE","Gameboy","HYBE/Geffen",74,186,6,"29103"
184,"spotify:track:2RdEC8Ff83WkX7kDVCHseE","Charli xcx","party 4 u","Atlantic Records UK",98,-1,10,"28833"
185,"spotify:track:3aawXLnJpcDVXCl1UUksAW","Eason Chan","淘汰","Cinepoly Records Co. Ltd.",114,179,124,"28807"
186,"spotify:track:6oHNXUrt4s5JJIM1WoOwsZ","Dear Jane","哪裡只得我共你","WM Hong Kong",16,191,382,"28805"
187,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""","Black Panther (TDE/DMG) PS",1,189,50,"28747"
188,"spotify:track:505artCQrIUUlWZY4WIEDA","moon tang","趁你旅行時搬走","WM Hong Kong",25,-1,63,"28720"
189,"spotify:track:2YF2QvEFNGbIgNQaUzLk4Q","Gareth.T","勁浪漫 超溫馨","WM Hong Kong",6,-1,103,"28581"
190,"spotify:track:2xsfwyT49o2OCoPieXMxQC","Beyond","光輝歲月","Cinepoly Records Co. Ltd.",190,-1,3,"28551"
191,"spotify:track:6EIMUjQ7Q8Zr2VtIUik4He","Henry Moodie","drunk text","Robots & Humans/Columbia",88,162,40,"28524"
192,"spotify:track:28MuHiNnoY8yjwhvIw5NnO","陳健安","戀愛腦之死","Media Asia Music Limited",42,197,32,"28503"
193,"spotify:track:70t7Q6AYG6ZgTYmJWcnkUM","IVE","I AM","Starship Entertainment",8,-1,81,"28431"
194,"spotify:track:0bMoNdAnxNR0OuQbGDovrr","LE SSERAFIM","ANTIFRAGILE","SOURCE MUSIC",24,143,85,"28355"
195,"spotify:track:402d6uwzTN1HmZiaKQ01h6","Cloud 雲浩影","回憶半分鐘","Media Asia Music Limited",32,-1,26,"28326"
196,"spotify:track:1XGmzt0PVuFgQYYnV2It7A","Maroon 5, Wiz Khalifa","Payphone","Interscope Records*",126,200,59,"28161"
197,"spotify:track:1BFpJoAPByexBgJ5z7CDHZ","Kary Ng","吳哥窟","Cinepoly Records Co. Ltd.",113,157,28,"27991"
198,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",55,-1,73,"27945"
199,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",30,-1,57,"27930"
200,"spotify:track:7xAVLrbnud6OrU6f4FmxDr","Juno Mak, Kay Tse","羅生門","Silly Thing Records Company Ltd.",40,-1,265,"27836"
