rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
146,"spotify:track:4Z8HZSApeddaRM2ovivUj4","Rauw Alejandro","La Old Skul","Sony Music Latin/Duars Entertainment",73,151,39,"36643"
147,"spotify:track:3bAAv8knmzFpYQsLFoK6de","Quevedo","TUCHAT","Quevedo",44,67,4,"36597"
148,"spotify:track:46YjJXVXWHlQ21odKktg5e","Tainy, Bad Bunny","MOJABI GHOST","NEON16, LLC",1,140,110,"36594"
149,"spotify:track:1mAUVEQWn2PRxWnRhQreBo","Sky Rompiendo, Dei V","CRUSH","Sony Music Latin",61,132,60,"36443"
150,"spotify:track:2CeKVsFFXG4QzA415QygGb","Feid","Feliz Cumpleaños Ferxxo","UMLE - Latino",2,131,155,"36313"
151,"spotify:track:6rZno3nqeT7hv2PnSWRuYS","Blessd","YOGURCITO","WEA Latina",81,114,10,"36097"
152,"spotify:track:4tQofG51E0juZBBVr6pral","Mora","Tuyo","Rimas Entertainment LLC",33,150,162,"35758"
153,"spotify:track:6yLqoieklk9gwabLaUDJ4s","La Factoria, Eddy Lover","Perdóname","PanamaMusic",153,158,2,"35610"
154,"spotify:track:74BEdRSCBbSGYJe2TQvcrR","BTS","Blood Sweat & Tears - Live","BIGHIT MUSIC",84,121,3,"35368"
155,"spotify:track:6qafqn8bBMy7t5c5WqpyRk","Jimin","Closer Than This","BIGHIT MUSIC",29,127,14,"35348"
156,"spotify:track:5jt25aFjW2kNoBqaEVaz5W","Mora, Feid","LA INOCENTE","Rimas Entertainment LLC",4,146,175,"35280"
157,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",16,156,51,"35266"
158,"spotify:track:6xjW0WgfQLNunLGTSwZ5hA","Beéle","i miss you","5020 Records",40,134,42,"35264"
159,"spotify:track:416m19AlSJrLPrK3Mor0UG","Alleh, Yorghaki","la radio","CONMUER LLC",62,161,27,"35160"
160,"spotify:track:2CEf2gU5ZJamLXa3NrgAvA","Rauw Alejandro","Desenfocao'","Sony Music Latin/Duars Entertainment",50,171,50,"35058"
161,"spotify:track:0uqt3MShCD4uYCIRNm6d4o","Quevedo","Columbia","Rimas Entertainment LLC.",1,153,104,"34928"
162,"spotify:track:5KMfzwgSsB0UETKqceJ6Eu","Yan Block, Young Martino","18","SONAR LLC.",52,136,19,"34917"
163,"spotify:track:1uHasdVOWbOKA51ilcXsvx","Alleh, Yorghaki, Gus","la ciudad","CONMUER LLC",44,144,27,"34826"
164,"spotify:track:2beS6dD5rovBxSA1zYoSHR","JHAYCO, J Balvin, Bad Bunny","No Me Conoce - Remix","N&E Entertainment LLC",61,138,165,"34755"
165,"spotify:track:3GhmL9fuM8jwGcHCFbeo3v","Arcángel","Me Prefieres A Mi","Vida Music",153,168,7,"34702"
166,"spotify:track:1QRDtLcs87iacjgqKdYljE","Neutro Shorty","PRÉNDELO PINGÜINO","Rimas Entertainment México, S.A de C.V",60,108,3,"34568"
