rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
134,"spotify:track:5r5cp9IpziiIsR6b93vcnQ","Empire Of The Sun","Walking On A Dream","EMI Recorded Music Australia Pty Ltd",86,145,20,"587674"
135,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",23,152,100,"585998"
136,"spotify:track:51eSHglvG1RJXtL3qI5trr","Benson Boone","Slow It Down","Night Street Records, Inc./Warner Records Inc.",18,140,71,"585279"
137,"spotify:track:3nqqDo8CcCLke3ZoTgiOKf","The Script","The Man Who Can't Be Moved","Epic/Phonogenic",65,167,61,"582432"
138,"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Tears For Fears","Everybody Wants To Rule The World","UMC (Universal Music Catalogue)",37,138,191,"581419"
139,"spotify:track:3zEN0ii6s4DHHBpnTp3RP7","Empire Of The Sun","We Are The People","EMI Recorded Music Australia Pty Ltd",69,175,22,"575953"
140,"spotify:track:6eWAWHm0cuOaPGDWhoLJ7s","Myles Smith","Nice To Meet You","RCA Records Label",31,123,39,"573024"
141,"spotify:track:2MZeoO5my5Z2opiQHm150R","Lola Young","d£aler","Universal-Island Records Ltd.",141,-1,1,"571350"
142,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",52,184,88,"571123"
143,"spotify:track:3DwQ7AH3xGD9h65ezslm6q","Metallica","Enter Sandman - Remastered 2021","Blackened Recordings / Universal Music",137,139,11,"569727"
144,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",7,173,44,"568000"
145,"spotify:track:5VGlqQANWDKJFl0MBG3sg2","Kings of Leon","Use Somebody","RCA/Legacy",76,180,50,"565977"
146,"spotify:track:27w0RH5IDt6xU3B2j7QOuy","Fontaines D.C.","Favourite","XL Recordings",108,154,25,"565949"
147,"spotify:track:6z1Xz89avh1KA7d3Ek7DQP","Oasis","Half the World Away - Remastered","Big Brother",37,136,10,"565873"
148,"spotify:track:0hta2Lb2zKJ7kEnAEZEE3G","wifiskeleton, i wanna be a jack-o-lantern","Nope your too late i already died","9th St. / Hallwood",68,142,13,"563889"
149,"spotify:track:0gucTLf7trAf37Ua1uAyAu","Nirvana","Smells Like Teen Spirit - Remastered","Geffen",85,147,144,"561943"
150,"spotify:track:6CltzquypraYIlWFp48m1O","Sam Fender","Hypersonic Missiles","Polydor Records",66,159,83,"557202"
151,"spotify:track:5uhKHittCEU69xbCNzfTR9","Oasis","Morning Glory - Remastered","Big Brother",83,128,6,"555887"
152,"spotify:track:4wH4dJgrsxONID6KS2tDQM","Nelly Furtado","Maneater","Mosley / Geffen",126,168,32,"555371"
153,"spotify:track:5FVd6KXrgO9B3JPmC8OPst","Arctic Monkeys","Do I Wanna Know?","Domino Recording Co",24,163,381,"554026"
154,"spotify:track:57GsLpRtEtrzcPGPop20rS","Drake","What Did I Miss?","OVO/Republic",34,76,5,"553706"
155,"spotify:track:0gEyKnHvgkrkBM6fbeHdwK","The Cranberries","Linger","Island Records",41,169,76,"553566"
156,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",22,157,159,"552265"
157,"spotify:track:6xV7Be6XEvkSnighmh2Tzj","Tyler, The Creator","Sugar On My Tongue","Columbia",104,112,3,"547682"
158,"spotify:track:7o3xJRQhpHRZ6IbyQX2xrp","sombr","we never dated","Warner Records",79,-1,5,"547344"
159,"spotify:track:5hnyJvgoWiQUYZttV4wXy6","Snow Patrol","Chasing Cars","Polydor Records",99,135,135,"547106"
160,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",28,183,47,"542656"
161,"spotify:track:3tQFthLmtBuc0XPL2b8nnu","Oasis","Little by Little","Big Brother",118,150,6,"541957"
162,"spotify:track:456WNXWhDwYOSf5SpTuqxd","Florence + The Machine","Dog Days Are Over","Universal-Island Records Ltd.",21,170,166,"540148"
163,"spotify:track:0AIpGG5dxEgnAymhdJRSZ0","Blood Orange","Champagne Coast","Domino Recording Co",65,148,27,"539779"
164,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",3,160,124,"539611"
165,"spotify:track:5adjc9rGazKvYcyEHNtoz1","Oasis","Cigarettes & Alcohol - Remastered","Big Brother",76,143,7,"538920"
166,"spotify:track:4nZi6XNe36Ut4Nij3IQ1yC","Fleetwood Mac","Silver Springs - 2004 Remaster","Rhino/Warner Records",158,188,5,"534232"
167,"spotify:track:3Fzlg5r1IjhLk2qRw667od","Toploader","Dancing in the Moonlight","Sony Soho Square",60,-1,301,"533542"
168,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",2,192,93,"531365"
169,"spotify:track:3avYqdwHKEq8beXbeWCKqJ","Katy Perry","Last Friday Night (T.G.I.F.)","Capitol Records",111,178,20,"531198"
170,"spotify:track:1dzQoRqT5ucxXVaAhTcT0J","Lady Gaga, Colby O'Donis","Just Dance","Streamline/Interscope",99,162,18,"531147"
171,"spotify:track:1bCmvezFg5MRcENzCGG1Cy","The Fratellis","Chelsea Dagger","Universal-Island Records Ltd.",144,171,15,"529276"
172,"spotify:track:5mCPDVBb16L4XQwDdbRUpz","Drake","Passionfruit","Cash Money Records/Young Money Ent./Universal Rec.",3,158,79,"528476"
173,"spotify:track:644WwORjNrpWP09Kzgh2Ub","Dream Supplier, Baby Sleeps, Background White Noise","Clean Baby Sleep White Noise (Loopable no fade)","Dream Supplier",173,-1,1,"526865"
174,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",5,122,37,"524048"
175,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",68,198,287,"523792"
176,"spotify:track:1xOqGUkyxGQRdCvGpvWKmL","KATSEYE","Gabriela","HYBE/Geffen",105,-1,5,"521626"
177,"spotify:track:10nyNJ6zNy2YVYLrcwLccB","Radiohead","No Surprises","XL Recordings",177,185,3,"521109"
178,"spotify:track:7K2DFO1NYMtBdNP6vNlhWI","Levi Heron","The Glen - Levi Heron Edit","Robots & Humans/B1 Recordings",78,161,11,"520539"
179,"spotify:track:2374M0fQpWi3dLnB54qaLX","TOTO","Africa","Columbia",85,-1,211,"518523"
180,"spotify:track:0COqiPhxzoWICwFCS4eZcp","Evanescence","Bring Me To Life","The Bicycle Music Company",180,193,4,"518452"
181,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",1,166,65,"517583"
182,"spotify:track:3pOZSiqMwaRxtW0I4oQmtz","Oasis","Stand by Me","Epic",68,164,7,"517520"
183,"spotify:track:7EZC6E7UjZe63f1jRmkWxt","The Cranberries","Zombie - 2025 Remastered","Island Records",81,197,42,"515757"
184,"spotify:track:7B3BwNecBhKvNwSMOOl7Gk","Addison Rae","Fame is a Gun","Columbia",23,118,10,"514385"
185,"spotify:track:2BkTPMr1v6Fr6JJwc4V7R5","TWICE","Strategy (from the Netflix film KPop Demon Hunters)","Republic Records - TWICE",185,-1,1,"514377"
186,"spotify:track:4iZxeyibg6w4EFCOoAQ6Eh","Two Door Cinema Club","What You Know","Kitsune",45,186,156,"512450"
187,"spotify:track:2uvE4L5ZsYKpv8hbK4TIOt","Leon Thomas","MUTT","EZMNY Records/Motown Records",70,-1,17,"511925"
188,"spotify:track:38WyDtxZhxm63jiythwemE","Lorde","Ribs","Universal Music New Zealand Limited",62,181,15,"509766"
189,"spotify:track:0k2GOhqsrxDTAbFFSdNJjT","Sean Paul","Temperature","VP Records",127,189,16,"507847"
190,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",19,-1,243,"507050"
191,"spotify:track:57bgtoPSgt236HzfBOd8kj","AC/DC","Thunderstruck","Columbia",131,141,15,"505830"
192,"spotify:track:7fvDXNMwfIDnvhTyMDROOp","Denon Reed, Cru2","Let Him Go","AAO Records Ltd under exclusive licence to Relentless/SoundOn",133,133,2,"504725"
193,"spotify:track:3E7dfMvvCLUddWissuqMwr","Miley Cyrus","Party In The U.S.A.","Hollywood Records",56,182,159,"500924"
194,"spotify:track:5AEOqLsRJFAoSS4ay4Jzao","Nirvana","Come As You Are - Remastered","Geffen",187,195,7,"500867"
195,"spotify:track:2KrN3MCNztKcSleZgHEj83","Mumford & Sons","Little Lion Man","Universal-Island Records Ltd.",146,-1,9,"500388"
196,"spotify:track:7snQQk1zcKl8gZ92AnueZW","Guns N' Roses","Sweet Child O' Mine","Guns N Roses P&D",117,199,22,"500345"
197,"spotify:track:63Pi2NAx5yCgeLhCTOrEou","Imogen Heap","Headlock","Megaphonic",26,-1,35,"498018"
198,"spotify:track:3siwsiaEoU4Kuuc9WKMUy5","The Marías","No One Noticed","Nice Life/Atlantic",75,-1,24,"497933"
199,"spotify:track:66YywMJbAgzQrGkFKjnSsK","Olivia Dean","Ok Love You Bye","AMF Records",199,-1,1,"496587"
200,"spotify:track:1avW49i7WxqhimN7QNMPQj","Oasis","Some Might Say - Remastered","Big Brother",88,179,6,"496506"
