rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
111,"spotify:track:2GNRfmePF0jpLKYge37MFw","Marwan Pablo","Racore","Quality Clique",3,119,165,"141345"
112,"spotify:track:693Zm4S9surNZUPZp0RCXi","Lege-Cy","Betadeen","Takwene",11,158,214,"140718"
113,"spotify:track:6bltDO0jvqd9OQqhtR4Hjf","Houda","روقان","Sharqi Production 2024",22,137,63,"140074"
114,"spotify:track:7DYa99MDxGMIFouOh8bHdi","Amr Diab","Khalek Fakerny","Global",114,164,32,"139522"
115,"spotify:track:3OFejsaM3NDkclJg3rjWI2","Marwan Moussa","البوصلة ضاعت","Blue Check Entertainment",9,170,303,"138962"
116,"spotify:track:09GZRZP0txDanDf3s1Ap7K","Wegz, Molotof","دورك جي","Takwene",1,152,252,"138375"
117,"spotify:track:1bXmR0B5BOfCudp3zQmKmH","TUL8TE","بقيت وحيد","MDLBEAST Records",3,125,54,"137886"
118,"spotify:track:0dF6JdIqKpDJ7PkXUjmQEt","Teefo","سامعك","Elevate",39,105,36,"137126"
119,"spotify:track:5aAg17zE7m1xJEmvFexMD3","Shehab","اجانص","Shehab",36,115,128,"133932"
120,"spotify:track:769SfyeZWL2PvMt7Bd6PJ6","Essam Sasa","سجن الدنيا يهد - بس السيط وحش اسمعو مني","Essam Saasa",97,97,2,"133780"
121,"spotify:track:0IbcZmuU8k7UfTcNOTo4v0","Amr Diab","Makanak Fe Alby","Sony Music Entertainment",12,106,53,"133304"
122,"spotify:track:68WRDAU8QecpIyasp2BEby","Muslim - مُسلِم","Aleb Fel Dafater","Global",2,129,137,"133228"
123,"spotify:track:4Vm5J277k6HH6CNZEZXAE9","Reda El Bahrawy, Muslim","لفينا الدنيا","Sony Music Entertainment",2,116,110,"132372"
124,"spotify:track:5arfoRuIEliMiCRZt7CFkA","Molotof, Marwan Pablo","Denamet","Molotof",6,96,276,"131524"
125,"spotify:track:3mCRXThJ3oSg8YFhzlkMqO","Lege-Cy","ERMINI","Takwene",125,-1,1,"130045"
126,"spotify:track:07i2eEAI1ZlCs1QcbVaGA3","Eslam Kabonga","وريتك الخير","SR Media",43,109,19,"129830"
127,"spotify:track:0qX9ZQfcUBFyhOcKGFYEpR","Eslam Kabonga","مالناش كبير كبيرنا فوق","Islam Kabonga",11,104,41,"129759"
128,"spotify:track:3A84MH5fFWCHgy5R5c7WpC","Lege-Cy","تروح لمين - من فيلم البحث عن منفذ لخروج السيد رامبو","Takwene",12,163,30,"128565"
129,"spotify:track:0zyAjQxKKcs5UAdctKc0xR","Magdy El Zahar, Eslam Kabonga","زماني صابني عيار","Hebesha Production",1,107,80,"127664"
130,"spotify:track:0PTlHYXWyCeayIw3Tpafdl","Essam Sasa","عره فافي عامل مغامر - بت انتي حب حياتي","Essam Saasa",3,124,159,"127382"
131,"spotify:track:2VHp98YYcFKrAy09IaiXN2","Elissa","Ajmal Ihssas","Music Master",112,112,8,"126886"
132,"spotify:track:7hW8aoRVPeeL46iaDJebYy","Amr Diab","Ya Bakhto","Sony Music Entertainment",33,102,5,"126738"
133,"spotify:track:1QSMPPfQD7uMBbT0KN1ey2","AL SHAMI","Wein","Al Shami",16,120,39,"126659"
134,"spotify:track:5GDhHuLpmneh1DCMyKMJp3","Cairokee","Roma","Cairokee-Roma",7,118,84,"126624"
135,"spotify:track:2E870p0a1keSedRhkx6IOh","Shehab, Omar Keif","KKKK","Shehab",10,134,24,"126573"
136,"spotify:track:5uwxUgvc7YMESf745i8wyx","Marwan Pablo","BONO","Quality Clique",6,144,19,"123598"
137,"spotify:track:795CQEQ8mgrrEXMwazznQ7","Ramy Sabry","W lessa Yama","Ramy Sabry",70,121,29,"123047"
138,"spotify:track:3ZTuYuaV1fhdNnuIBuzTYy","Amr Diab","Nour El Ein","Global",51,128,110,"122927"
139,"spotify:track:0yDB9QPreJjeDynwlwZ4m2","Bahaa Sultan","Ana Mosammem","Free Music - Nasr Mahrous",37,138,134,"122679"
140,"spotify:track:6g95dK7o7vVh8ZCnDAseU5","Sherine","كلام عينيه","Sherine Abd El-wahab",2,127,101,"122675"
141,"spotify:track:4uiIriyAA3jAW3lZCHp2gg","Eslam Kabonga","انا متلف كوكبي","Islam Kabonga",106,108,7,"122298"
142,"spotify:track:6F3H9lct2KnI8yl1ADdnPk","Amr Diab","Esharat","Sony Music Entertainment",45,110,5,"120743"
143,"spotify:track:5hiQSNo6jQbQ2m2gBZs7bU","Muslim - مُسلِم","Etnaset","Global",1,146,198,"120502"
144,"spotify:track:2aZNUu6LFLD0nsppiw8f0p","Ahmed Saad","Alf Mara (Kamel El Adad++ series)","Global",21,145,21,"120351"
145,"spotify:track:7kNyHl1MLu8p3jQmqRgFgQ","Hamo Bika, Eslam Kabonga","هنط جامب بالاوكابي","Hamo Bika Live",8,-1,68,"120106"
146,"spotify:track:3MzJ2M9PzfCtaGMHAirjIM","Mahmoud El Leithy","عم المجال","Abo El Seed",19,132,67,"119896"
147,"spotify:track:4y5cWLlxJzEumBAdGzdY5s","Marwan Pablo","Lelly Yah","Quality Clique",1,147,126,"119795"
148,"spotify:track:1VfR7wqvEB9vQZrpizMRmf","Bahaa Sultan","براحة يا شيخة","Sony Music Entertainment",4,113,128,"118622"
149,"spotify:track:5zt4y1nzteBx4ncO7NyETw","Amr Diab","Dayman Faker","Sony Music Entertainment",27,111,5,"118589"
150,"spotify:track:1EBmjew9K69csBqRxI8BeO","Cairokee","Samurai","Cairokee-Roma",13,149,224,"118270"
151,"spotify:track:1gCBAIFNZXVdYfQcymY2hC","Tamer Ashour","Oloolo Samah","All About Arts/qanawat Music",23,185,265,"118238"
152,"spotify:track:1dP8RC3NAvg8GyeRCCJdY1","Amr Diab","Maak Alby","Sony Music Entertainment",152,165,10,"118118"
153,"spotify:track:31bpBRmlNCe4XFvci7EXNW","Angham","W Nefdal Norkos","Angham",130,133,14,"117165"
154,"spotify:track:50x3nwdfvXWc8h0hUfKZU2","حمو رانجو, الصافي رايزو","دكن دكن هنا مفيش مكان","WinWay / Omar El Rayes",18,123,31,"116959"
155,"spotify:track:5HKS61lkZs3853MkbDO9yn","Wegz","ساليني","Takwene",67,-1,273,"116614"
156,"spotify:track:6382iMgZk6yyPg3htCkpB5","Muslim - مُسلِم","Abl Mawsalek","Global",12,157,197,"116578"
157,"spotify:track:0hZaYE3a53y2VbZq85MceM","Angham","تيجي نسيب","Angham",35,171,45,"116541"
158,"spotify:track:4o1PPATScznoaMQk2yg6G5","Shahyn","Siri","Shahyn",1,166,161,"115525"
159,"spotify:track:765brCcbTt4rL9yUpjD40g","مصطفي الجن و هادي الصغير - تيم الابداع, Karim Cristiano","اعقل يا غشيم - كاتم الانفاس 2","Karim Cristiano",21,141,20,"114968"
160,"spotify:track:4IfxveU1bKptoIxYbQ2tob","ZIAD ZAZA, Vodafone Music, Ismail Nosrat","باليني","Beatroot Records",160,-1,1,"113951"
161,"spotify:track:40OzlzlZdQqZqUl3SXh5m2","DJ Totti, Shehab","(Explicit version) منافقين","Takwene",12,172,76,"113814"
162,"spotify:track:5KMQGErDASymjKq0LDa0MN","EMIN, JONY","Камин","Lotus Music",117,117,7,"113645"
163,"spotify:track:2xJ0wrRkWDi6XxQsiYbO3T","ريفو شو","حكمة الايام - من مسلسل ريفو","Watch iT",33,151,84,"113186"
164,"spotify:track:0JBrQ5FllvdTWvBm3GEvyU","Amr Diab","Ya Habibi La","Global",88,-1,79,"112151"
165,"spotify:track:3kvFynFheCVVecaJLKketl","Karim Osama, El Waili","Nazlet Seman","Takwene",4,-1,90,"111787"
166,"spotify:track:3M4mi6UsQVDfVvw26EnyZI","مصطفي الجن و هادي الصغير - تيم الابداع, Mostafa Elgen, Hady El Soghayar","اسمع يا ابنها ( انا كيفي كيس چينس )","Mostafa El Gen",85,143,19,"111679"
167,"spotify:track:4qzZfVfmn8eSIRjHANyacT","Angham","Loha Bahta","Angham",162,162,4,"111639"
168,"spotify:track:6LfgqTzxFJWrlF0veI2QI7","Amr Diab","Halawwenhom","Sony Music Entertainment",41,139,5,"111199"
169,"spotify:track:5EVxFpZ5tYE8o0cYnoHoQy","Mostafa Elgen, Hady El Soghayar","الشارع اتفسد - اهلا بيكو يا مظابيط","Mostafa El Gen",12,130,32,"110953"
