rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
112,"spotify:track:1XBYiRV30ykHw5f4wm6qEn","The Kid LAROI","NIGHTS LIKE THIS","Columbia",29,129,59,"21490"
113,"spotify:track:01p5urrGw5fuFCcfT7PBgc","Justin Bieber","GO BABY","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",38,82,4,"21391"
114,"spotify:track:51ZQ1vr10ffzbwIjDCwqm4","Ariana Grande","we can't be friends (wait for your love)","Republic Records",1,107,74,"21208"
115,"spotify:track:5UGrftqh9U3zKQUt3vs7Ob","Shubh","Supreme","Shubh",64,117,15,"21055"
116,"spotify:track:1kl8HxZrfUluGnW5rorqzC","Jubair Muhammed, Hanan Shaah, Suhail Sulthan","Insaanile","Jubair Muhammed",66,92,8,"21022"
117,"spotify:track:7b89Ffklm3xh4GI37vlZDZ","Cup of Joe, Janine","Tingin","Viva Records",97,128,26,"21012"
118,"spotify:track:2NxnWXho1vkCkuBijDyYNK","Le John","Naiilang","Moody Music Company",88,98,6,"21005"
119,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",9,119,204,"20923"
120,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",14,116,35,"20883"
121,"spotify:track:3azJifCSqg9fRij2yKIbWz","Tory Lanez","The Color Violet","One Umbrella Records",14,122,166,"20762"
122,"spotify:track:4sTlQPMyoFMPdhAJvErBN3","ATLXS","PASSO BEM SOLTO - Slowed","broke",23,118,20,"20596"
123,"spotify:track:3iiiuE1iI2viPi0Z55eiPM","Jakes Bejoy, M. G. Sreekumar, Harinarayanan","Kanmanipoove","Sony Music Entertainment India Pvt. Ltd.",37,143,15,"20544"
124,"spotify:track:5ThyDv6aRVU8AH4vXQNldF","Kushagra, Bharath, Saaheal","Finding Her","EYP Creations",39,97,18,"20461"
125,"spotify:track:0q84FggW57NXGtLHoetS0Y","Sachin-Jigar, Sonu Nigam, Krishnakali Saha, Amitabh Bhattacharya","Pardesiya - From ""Param Sundari""","Universal Music India Pvt Ltd.",125,-1,1,"20389"
