rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
171,"spotify:track:7KoqEF76fGnDYdxTSHLxcm","Jay Chou","一路向北","Universal Music Taiwan (JVR)",25,-1,155,"89119"
172,"spotify:track:4v0cxd2ieNh7iGkoN2RRGj","Saweetie, TWICE","superstars","ICY/Warner Records",172,-1,1,"88297"
173,"spotify:track:0v2NGRaL9QRwtGITBlbbvr","ECHORA, Karencici","討厭","WM Taiwan",173,-1,1,"88241"
174,"spotify:track:5jAmIkIpskwu2hRz2YaEHi","张远","嘉賓","United Entertainment Group Limited",6,192,164,"87704"
175,"spotify:track:3NNDJfWMGHuNpvHWTImmlW","Fish Leong","慢冷","Universal Music Taiwan",12,163,323,"87602"
176,"spotify:track:52yAKumXlqPjUsIBlmiMvo","Jay Chou, Ashin Chen","說好不哭","Universal Music Taiwan (JVR)",1,189,305,"87569"
177,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",7,198,34,"87471"
178,"spotify:track:7ks6KrwN2DKhEm06X85qEK","Amazing Show","捲菸","Bisiugroup",80,161,26,"87420"
179,"spotify:track:30slz6D2PtbwDimGJaEVsH","邱軍","運轉人生 - 影集《華麗計程車行》插曲","Sony Music Entertainment",5,167,64,"87354"
180,"spotify:track:1njlnn8ZKHI77Pe9szIONR","BABYMONSTER","SHEESH","YG Entertainment",2,193,71,"87213"
181,"spotify:track:1fDGN1BOe1eMgofgO6qxm0","SUPER JUNIOR","Express Mode","SM Entertainment",62,101,4,"87111"
182,"spotify:track:2aL4lMGhWdPpyPL6COPou7","keshi","Soft Spot","Island Records",36,-1,42,"87042"
183,"spotify:track:7oQku6a7j4laDq3zTI6CRf","加木","两难","网易云音乐",87,174,8,"86682"
184,"spotify:track:5Rzpn60KTM11EBETHaF9Kt","承桓","我会等","一寸光年",1,177,122,"86394"
185,"spotify:track:70t7Q6AYG6ZgTYmJWcnkUM","IVE","I AM","Starship Entertainment",2,191,86,"85717"
186,"spotify:track:4OoExItZJ0jePoCZDbHx4t","Jay Chou","說好的幸福呢","Universal Music Taiwan (JVR)",33,156,50,"85586"
187,"spotify:track:7BqBn9nzAq8spo5e7cZ0dJ","Bruno Mars","Just the Way You Are","Elektra (NEK)",18,-1,51,"85230"
188,"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Ed Sheeran","Shape of You","Atlantic Records UK",1,194,240,"85148"
189,"spotify:track:1XGmzt0PVuFgQYYnV2It7A","Maroon 5, Wiz Khalifa","Payphone","Interscope Records*",79,190,46,"84829"
190,"spotify:track:5XWlyfo0kZ8LF7VSyfS4Ew","aespa","Drama","SM Entertainment / Warner Records",4,-1,90,"84706"
191,"spotify:track:3tKi1rBzT8RPtAyId7iOJ7","公館青少年 GGteens","你到底在選擇什麼","StreetVoice 街聲",145,145,2,"84556"
192,"spotify:track:3gJAFFELdZyIM8tiwLAikg","JENNIE, Dua Lipa","Handlebars (feat. Dua Lipa)","OA Entertainment/Columbia",4,-1,19,"84332"
193,"spotify:track:7zyYmIdjqqiX6kLryb7QBx","Eric Chou","以後別做朋友","Sony Music Entertainment",43,162,331,"84239"
194,"spotify:track:3m6IzuqkNDoYSTb8yWlDOj","Ricky Hsiao","做一個惜情軟心的人","WM Taiwan",129,129,2,"84189"
195,"spotify:track:3lTTI3ldcvCbvQDfz7I49R","Alex Warren, ROSÉ","On My Mind","Atlantic Records",59,-1,5,"83963"
196,"spotify:track:5DH8nF7aWoXXg5Sm3gjCWD","Ronghao Li","不將就 (電影""何以笙簫默""片尾曲)","WM Taiwan",62,147,178,"83919"
197,"spotify:track:0KyotMIKlez4YzpEoJbbfd","Yoga Lin, Ng KiPin","Time","HIM International Music Inc.",197,-1,1,"83891"
198,"spotify:track:0tgVpDi06FyKpA1z0VMD4v","Ed Sheeran","Perfect","Atlantic Records UK",4,-1,183,"83638"
199,"spotify:track:1bkdJsC4ZWDo8j8ekJWMeD","Jess Lee","煎熬","WM Taiwan",104,170,21,"83197"
200,"spotify:track:4IazYww9msi3dR81d9itO7","頑童Mj116","SPOTLIGHT","Rock Records / True Color Co. Ltd. / Steel Wool Records / EMPIRE",126,141,46,"82977"
