rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
85,"spotify:track:5H1sKFMzDeMtXwND3V6hRY","BLACKPINK","JUMP","YG Entertainment",70,112,4,"500829"
86,"spotify:track:0ffAQDy0hadsOsYycajB8u","Tony Boy, Shiva","Società (feat. Shiva)","Warner Music",16,104,6,"498558"
87,"spotify:track:1lslS1hUsIvAScXvWVTLt2","Artie 5ive","INTRO (La Bella Vita)","Warner Music",22,62,18,"498224"
88,"spotify:track:74tpC8vZ6DJUILzGG9uvp4","Ghali","Chill","Warner Music",54,59,12,"495823"
89,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",89,145,37,"494695"
90,"spotify:track:1XpmMe95dk9jh3zuOMpeU2","Capo Plaza","Capri Sun","Atlantic/WM Italy",2,173,126,"492102"
91,"spotify:track:4KVniEaketaWkpVFVrIEgw","Banfy, Sheridan","Bam Bam","Emme Sound",91,-1,1,"491831"
92,"spotify:track:1b8tFExEyHyxTzrrlQAsu4","Cesare Cremonini","Marmellata #25","Universal Music Italia srL.",55,94,19,"486343"
93,"spotify:track:4ZRVI6xwgbjgW5SgJB468n","ANNA, Artie 5ive","I LOVE IT (feat. Artie 5ive)","Universal Music Italia srL.",3,98,58,"486171"
94,"spotify:track:5M8Z823Sb2BhMpecHksN0T","Serena Brancale","ANEMA E CORE","Warner Music",11,97,26,"484736"
95,"spotify:track:2kZV7d0A4BIN5I8iFBnbqp","Achille Lauro, Gow Tribe","16 Marzo (feat. Gow Tribe)","Elektra/WM Italy",28,177,61,"484624"
96,"spotify:track:526h1XXAQa5XnkPZSd3aC5","Rose Villain, Tony Effe","victoria's secret (feat. Tony Effe)","Warner Music",53,105,10,"479971"
97,"spotify:track:5pYy054Wcuj9CFdDIxZSVU","Olly, Juli","Menomale che c'è il mare","Epic",35,106,50,"473806"
98,"spotify:track:1QGzvmIW0VzHz5LBoxqK0C","Carl Brave, Sarah Toscano","PERFECT (feat. Sarah Toscano)","Warner Music",53,83,15,"472959"
99,"spotify:track:5PML6KBG7m6NVjpiYBLB8S","Luchè, Shiva, Tony Boy","Anno Fantastico (feat. Shiva, Tony Boy)","Warner Music",5,108,20,"463021"
100,"spotify:track:5qqabIl2vWzo9ApSC317sa","Oasis","Wonderwall - Remastered","Big Brother",89,199,32,"462485"
101,"spotify:track:1fIECxf5nSnt4pFUAp2xuq","Sadturs, KIID, ANNA, Glocky","DIVERSITÀ (feat. ANNA, Glocky)","Warner Music",46,46,2,"458767"
102,"spotify:track:3bB97PIqXf7WtkKeuYuXFS","WizTheMc, bees & honey","Take My Mind","Bamboo Artists",80,90,4,"458251"
103,"spotify:track:07qo9gnLM488CUr0EtgIA1","Cesare Cremonini","Poetica","Universal Music Italia srL.",15,103,86,"454589"
104,"spotify:track:1IkzT4wzFJRbFOmKOSqTen","Geolier, Takagi & Ketra, Dat Boi Dee","EPISODIO D'AMORE","Warner Music",7,117,61,"452239"
